2020-05-15 10:16:37.297 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - Started CloudMessagemachineApplicationTests in 5.581 seconds (JVM running for 7.742)
2020-05-15 10:16:37.303 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-localhost_8848] [subscribe] null.properties+DEFAULT_GROUP
2020-05-15 10:16:37.305 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=null.properties, group=DEFAULT_GROUP, cnt=1
2020-05-15 10:16:37.810 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-15 10:16:37.812 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-05-15 10:16:38.104 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-05-15 10:16:38.106 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-15 10:19:30.692 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:19:31.107 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/lizhengyu/nacos/config
2020-05-15 10:19:31.194 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2020-05-15 10:19:31.305 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='null.properties,DEFAULT_GROUP'}]}
2020-05-15 10:19:31.392 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - No active profile set, falling back to default profiles: default
2020-05-15 10:19:32.211 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-15 10:19:32.217 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-15 10:19:32.257 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24ms. Found 0 Redis repository interfaces.
2020-05-15 10:19:32.638 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=46e7a28f-0c66-313e-a2f4-10703563cb1c
2020-05-15 10:19:32.941 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:19:33.730 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:19:33.738 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:19:34.321 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-15 10:19:34.690 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-15 10:19:34.707 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:19:34.708 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2020-05-15 10:19:34.708 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:19:35.188 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - Started CloudMessagemachineApplicationTests in 6.224 seconds (JVM running for 7.957)
2020-05-15 10:19:35.192 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-localhost_8848] [subscribe] null.properties+DEFAULT_GROUP
2020-05-15 10:19:35.194 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=null.properties, group=DEFAULT_GROUP, cnt=1
2020-05-15 10:19:35.700 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-15 10:19:35.701 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-05-15 10:19:35.982 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-05-15 10:19:35.984 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-15 10:20:25.519 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:20:25.940 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/lizhengyu/nacos/config
2020-05-15 10:20:26.009 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2020-05-15 10:20:26.055 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='null.properties,DEFAULT_GROUP'}]}
2020-05-15 10:20:26.075 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - No active profile set, falling back to default profiles: default
2020-05-15 10:20:26.821 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-15 10:20:26.825 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-15 10:20:26.860 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 Redis repository interfaces.
2020-05-15 10:20:27.179 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=46e7a28f-0c66-313e-a2f4-10703563cb1c
2020-05-15 10:20:27.443 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 10:20:28.301 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:20:28.308 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 10:20:28.978 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
